,area,centroid-0,centroid-1,major_axis_length,minor_axis_length,orientation,perimeter,max_intensity-0,max_intensity-1,max_intensity-2,mean_intensity-0,mean_intensity-1,mean_intensity-2,min_intensity-0,min_intensity-1,min_intensity-2
0,1.726403355348457,863.4042338709677,25.73891129032258,2.422307778149752,1.1894397058811492,1.0875169078997036,6.434362586460999,253.0,255.0,255.0,170.15524193548387,175.7384072580645,171.78477822580646,0.0,0.0,0.0
0,0.399404808520636,151.17211328976035,916.4640522875817,1.0827229628516053,0.5560544572580896,0.7970451103013434,2.9004690798762396,116.0,130.0,141.0,30.25925925925926,34.21568627450981,36.21132897603486,0.0,0.0,0.0
0,1.2826202347699727,552.6533242876526,1255.1377204884668,1.389611851959051,1.251353442470004,0.009141744492507313,4.670380584301017,235.0,233.0,210.0,141.4762550881954,137.12550881953868,122.67299864314789,4.0,4.0,4.0
0,0.8057709208934835,589.158747300216,901.5928725701943,1.5686989683839128,0.7092268123325762,1.395407217523815,3.9624159825311067,234.0,218.0,195.0,76.35637149028078,63.087473002159825,51.423326133909285,3.0,0.0,0.0
0,0.6273875096805632,690.3994452149792,1242.5658807212205,2.224022540497056,0.5480568875553233,1.1364506636038798,4.949314039248384,167.0,166.0,138.0,25.79750346740638,33.57281553398058,37.94174757281554,0.0,0.0,0.0
0,0.4281201869110085,852.6056910569106,617.4044715447154,1.0950162795156737,0.5063216556873155,0.5163874868602977,2.6990405511226645,106.0,110.0,111.0,16.04471544715447,15.56910569105691,20.607723577235774,0.0,0.0,0.0
0,1.311335613160345,29.455872594558727,1075.0331785003318,1.776938257773165,1.1361489013786157,-0.42241472744614367,5.30748913139384,247.0,255.0,255.0,59.99469143994691,73.12873258128732,83.15262110152621,0.0,0.0,2.0
0,0.5194872999712847,24.613065326633166,180.74874371859298,0.9885138913437179,0.6956600200775936,1.5369648145564392,2.81284186015715,155.0,156.0,161.0,44.87437185929648,45.15075376884422,43.33835845896147,0.0,0.0,0.0
0,0.41419757920658545,40.41596638655462,177.56932773109244,1.205419980781551,0.46455775636585783,-1.397116035836626,2.864681367911743,226.0,246.0,252.0,95.14285714285714,117.92436974789916,138.7058823529412,0.0,0.0,0.0
0,0.5682164269367653,62.01990811638591,411.8499234303216,1.3496184463721574,0.5424924670269385,-0.7457108406974549,3.189524828348904,210.0,219.0,218.0,78.81929555895866,89.82388973966309,90.51301684532925,0.0,0.0,0.0
0,0.5934511534010322,68.93108504398828,74.43401759530792,1.2327554582063864,0.6493898185883966,-0.675866393357632,3.2586441720216954,254.0,255.0,255.0,103.44721407624634,108.63489736070382,107.71407624633432,0.0,0.0,0.0
0,0.856240373822017,63.895325203252035,1168.6524390243903,1.5209101575466997,0.7433817872885519,0.23514428779900318,3.8861390964654166,172.0,193.0,196.0,19.820121951219512,26.746951219512194,32.890243902439025,0.0,0.0,0.0
0,0.8449282550621733,74.62100926879506,921.2636457260556,1.4008365682668251,0.8138304061906032,-1.0712836172657025,3.8629297582824202,155.0,166.0,172.0,43.34191555097837,47.87332646755922,48.2389289392379,0.0,0.0,0.0
0,0.3941838306314773,74.59381898454747,360.67991169977927,0.9919288469301962,0.5452153705103888,-1.1311483088151864,2.5810464508276794,130.0,145.0,164.0,34.91832229580574,49.16777041942605,60.7439293598234,0.0,0.0,2.0
0,0.7483401641127384,82.43488372093023,95.60581395348837,1.51355894363768,0.6604309086148277,-1.4806156077070718,3.750865160252233,191.0,206.0,232.0,74.56860465116279,86.71860465116279,107.88488372093023,0.0,0.0,0.0
0,1.2669573011024966,102.1146978021978,455.08585164835165,1.601246282467424,1.0873987288695097,0.9446756060566852,4.612611574281626,225.0,224.0,211.0,118.0782967032967,119.54120879120879,112.41277472527473,0.0,0.0,0.0
0,0.9362953681224495,96.21189591078067,186.46840148698885,1.3340857556650858,0.9209879756291933,-1.2668316778031874,3.722234990680636,255.0,255.0,249.0,139.47118959107806,128.864312267658,120.6775092936803,0.0,0.0,0.0
0,0.48294045474717423,112.43063063063063,430.16036036036036,1.2798588992319881,0.4921491680643269,0.8270392518048845,3.015498429038826,226.0,210.0,204.0,89.05585585585585,80.76396396396396,71.6054054054054,0.0,0.0,0.0
0,0.3767805710009485,108.16859122401847,651.7182448036951,1.0473435987722164,0.49968386790244124,1.1474292100946517,2.7508800588772577,158.0,139.0,107.0,27.034642032332563,21.61662817551963,17.09699769053118,0.0,0.0,0.0
0,0.44813393548611663,116.12233009708739,8.370873786407767,1.072024262094344,0.6386850640173427,-0.41596183333380493,2.999955304124926,85.0,108.0,139.0,27.398058252427184,38.5378640776699,54.054368932038834,0.0,0.0,0.0
0,0.8936573820276539,128.7653359298929,307.9094449853944,1.4987170204117417,0.7938095829164175,-0.020649409589498804,4.015483530413801,220.0,235.0,242.0,71.10418695228822,79.37974683544304,86.35929892891919,0.0,0.0,0.0
0,1.2086563813402251,128.35781137509,177.24334053275737,1.6097793774718758,1.0423884041345244,-1.0996433594605766,4.6084187830211265,255.0,255.0,253.0,137.38372930165588,139.94024478041757,137.00647948164146,0.0,0.0,0.0
0,0.4089766013174268,128.60638297872342,211.32127659574468,1.085313150804431,0.5204195837568831,0.5350766082636276,2.7681598947954553,111.0,125.0,138.0,35.38085106382979,44.50851063829787,54.85744680851064,0.0,1.0,0.0
0,0.7300667415006832,143.29797377830752,532.8307508939214,1.27353823781809,0.8101366711996625,0.29698227302188945,3.612626472906651,104.0,112.0,115.0,19.415971394517282,21.892729439809298,23.156138259833135,0.0,0.0,0.0
