,area,centroid-0,centroid-1,perimeter,orientation,major_axis_length,minor_axis_length,max_intensity-0,min_intensity-0,mean_intensity-0,max_intensity-1,min_intensity-1,mean_intensity-1,max_intensity-2,min_intensity-2,mean_intensity-2
0,0.00013961765038591727,58.648930092448325,209.3372026591877,0.050715009308038815,1.4979910756346513,0.01709941738730537,0.011263354562600754,221.0,0.0,95.10901071203529,241.0,0.0,121.49905482041588,246.0,0.0,139.5009451795841
1,0.00012647818936486804,239.19974773535145,44.06696479761495,0.046168043655421376,0.9174835845620425,0.016126919497119547,0.010386939354722007,227.0,0.0,68.33263743910925,246.0,0.0,76.26304801670146,253.0,0.0,80.02713987473904
2,0.00011438292392165052,220.23304171421327,195.23392925066565,0.04911789616279602,0.9497651725429275,0.020073579627120072,0.008008229063188953,188.0,0.0,65.43904320987654,216.0,0.0,77.58101851851852,233.0,0.0,89.05478395061728
3,0.00010376693554702796,231.18535988819008,382.1764849755416,0.045995245296239405,0.9763359555991066,0.01900530447612598,0.007049898779162537,197.0,0.0,65.87510548523207,230.0,0.0,87.09873417721519,239.0,0.0,93.77974683544304
4,0.00028850253652509117,229.16169004172323,545.7576031769969,0.06704401788011187,0.1852384887532731,0.021592959584939734,0.017247848606321257,255.0,0.0,140.04146489104116,245.0,0.0,128.7975181598063,235.0,0.0,110.50635593220339
5,0.0005539022458906553,231.42847511324064,693.882681381405,0.09521436439428851,-0.5910322904765866,0.030109517595537143,0.024389258335687843,255.0,0.0,98.8670766319773,255.0,0.0,113.73777988016398,255.0,0.0,124.88915168716493
6,0.00028528293349344334,242.5152254587972,888.1974226017996,0.0728424999596082,-0.8183515269824879,0.028097175376775148,0.01315209172061679,255.0,0.0,161.37139349294046,255.0,0.0,155.8133824432167,245.0,0.0,140.93370165745856
7,0.000368470514527371,256.5801747549888,1061.5181446058173,0.07711544431779065,1.5539701506891301,0.026453193877755604,0.01809734293488912,224.0,0.0,75.78786442284901,231.0,0.0,89.97606067788576,241.0,0.0,100.93647783835031
8,0.0007672662089609384,238.87628296002268,1183.835700784425,0.10455266948263434,-0.8906537357702394,0.0344667056637555,0.02835961991939617,255.0,0.0,173.82080727686184,255.0,0.0,178.46060261512224,255.0,0.0,174.5482660602615
9,0.0007804056699819876,381.3386017728717,239.78233075021836,0.10722850069557402,-0.6198357074827522,0.03787614142912764,0.026271426508062638,253.0,0.0,146.88370014523517,255.0,0.0,165.839235839571,254.0,0.0,172.06569098424757
